"Cluster","Cluster Enrichment Score","Category","Term","Count","List Total","Pop Hits","Pop Total","%","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"1","4.12","GOTERM_BP_DIRECT","chromatin remodeling","12","53","327","18975","22.64","1.08e-9","3.90e-7","13.14","1.17e-6","3.69e-7","7.95e-11","FOXA1,RB1,MYC,CHEK1,BRCA1,GATA3,BRCA2,ESR1,BUB1,ACTB,EZH2,AURKA"
"1","4.12","GOTERM_BP_DIRECT","positive regulation of transcription by RNA polymerase II","14","53","1240","18975","26.42","2.15e-5","1.16e-3","4.04","2.29e-2","1.10e-3","5.19e-6","FOXA1,RB1,TOP2A,PTEN,BRCA1,GATA3,ESR1,EGFR,MUC1,MYC,E2F1,AKT1,PGR,TP53"
"1","4.12","GOTERM_BP_DIRECT","positive regulation of gene expression","8","53","511","18975","15.09","4.62e-4","1.27e-2","5.60","3.93e-1","1.20e-2","8.00e-5","MYC,ERBB2,E2F1,AKT1,PGR,BRCA1,GATA3,TP53"
"1","4.12","GOTERM_BP_DIRECT","regulation of transcription by RNA polymerase II","11","53","1628","18975","20.75","1.19e-2","1.51e-1","2.42","1.00e+0","1.43e-1","4.71e-3","FOXA1,RB1,MYC,E2F1,PGR,BRCA1,GATA3,ESR1,TP53,ACTB,EZH2"
"1","4.12","GOTERM_BP_DIRECT","regulation of DNA-templated transcription","10","53","1502","18975","18.87","1.98e-2","2.13e-1","2.38","1.00e+0","2.02e-1","7.91e-3","FOXA1,RB1,MYC,E2F1,PGR,GATA3,BRCA2,ESR1,TP53,EZH2"
"2","2.81","GOTERM_BP_DIRECT","phosphatidylinositol 3-kinase/protein kinase B signal transduction","6","53","94","18975","11.32","5.79e-6","4.17e-4","22.85","6.23e-3","3.95e-4","2.39e-7","PIK3CA,ERBB2,PTEN,AKT1,GATA3,EGFR"
"2","2.81","GOTERM_BP_DIRECT","regulation of neuron projection development","3","53","44","18975","5.66","6.47e-3","1.01e-1","24.41","9.99e-1","9.59e-2","2.51e-4","PTEN,AKT1,GATA3"
"2","2.81","GOTERM_BP_DIRECT","nervous system development","5","53","646","18975","9.43","1.00e-1","5.79e-1","2.77","1.00e+0","5.48e-1","3.38e-2","CDC20,ERBB2,PTEN,AKT1,GATA3"
"3","2.49","GOTERM_BP_DIRECT","double-strand break repair","5","53","89","18975","9.43","1.03e-4","3.84e-3","20.11","1.05e-1","3.63e-3","4.87e-6","FEN1,PLK1,BRCA1,BRCA2,TP53"
"3","2.49","GOTERM_BP_DIRECT","double-strand break repair via homologous recombination","4","53","123","18975","7.55","4.66e-3","7.86e-2","11.64","9.94e-1","7.44e-2","3.85e-4","FEN1,PLK1,BRCA1,BRCA2"
"3","2.49","GOTERM_BP_DIRECT","DNA repair","6","53","429","18975","11.32","6.27e-3","9.95e-2","5.01","9.99e-1","9.42e-2","1.21e-3","FEN1,PCNA,PTTG1,CHEK1,BRCA1,BRCA2"
"3","2.49","GOTERM_BP_DIRECT","DNA recombination","3","53","112","18975","5.66","3.78e-2","3.16e-1","9.59","1.00e+0","3.00e-1","3.78e-3","FEN1,BRCA1,BRCA2"
"4","2.33","GOTERM_BP_DIRECT","phosphatidylinositol 3-kinase/protein kinase B signal transduction","6","53","94","18975","11.32","5.79e-6","4.17e-4","22.85","6.23e-3","3.95e-4","2.39e-7","PIK3CA,ERBB2,PTEN,AKT1,GATA3,EGFR"
"4","2.33","GOTERM_BP_DIRECT","epidermal growth factor receptor signaling pathway","4","53","71","18975","7.55","9.73e-4","2.11e-2","20.17","6.50e-1","1.99e-2","4.59e-5","PIK3CA,ERBB2,AKT1,EGFR"
"4","2.33","GOTERM_BP_DIRECT","cellular response to epidermal growth factor stimulus","3","53","47","18975","5.66","7.36e-3","1.07e-1","22.85","1.00e+0","1.02e-1","3.06e-4","ERBB2,AKT1,EGFR"
"4","2.33","GOTERM_BP_DIRECT","cellular response to growth factor stimulus","3","53","78","18975","5.66","1.94e-2","2.11e-1","13.77","1.00e+0","2.00e-1","1.35e-3","ERBB2,AKT1,EGFR"
"4","2.33","GOTERM_BP_DIRECT","positive regulation of cell growth","3","53","89","18975","5.66","2.48e-2","2.48e-1","12.07","1.00e+0","2.35e-1","1.97e-3","ERBB2,AKT1,EGFR"
"4","2.33","GOTERM_BP_DIRECT","signal transduction","7","53","2142","18975","13.21","5.42e-1","1.00e+0","1.17","1.00e+0","9.48e-1","3.91e-1","CDK4,ERBB2,AKT1,PGR,GATA3,ESR1,EGFR"
"5","2.32","GOTERM_BP_DIRECT","protein phosphorylation","6","53","261","18975","11.32","7.27e-4","1.70e-2","8.23","5.44e-1","1.61e-2","8.54e-5","ERBB2,PLK1,CHEK1,AKT1,NEK2,AURKA"
"5","2.32","GOTERM_BP_DIRECT","peptidyl-serine phosphorylation","3","53","47","18975","5.66","7.36e-3","1.07e-1","22.85","1.00e+0","1.02e-1","3.06e-4","PLK1,AKT1,AURKA"
"5","2.32","GOTERM_BP_DIRECT","positive regulation of proteasomal ubiquitin-dependent protein catabolic process","3","53","80","18975","5.66","2.03e-2","2.17e-1","13.43","1.00e+0","2.06e-1","1.45e-3","PLK1,AKT1,AURKA"
"6","2.15","GOTERM_BP_DIRECT","anaphase-promoting complex-dependent catabolic process","3","53","23","18975","5.66","1.80e-3","3.59e-2","46.70","8.56e-1","3.40e-2","3.50e-5","CDC20,UBE2C,AKT1"
"6","2.15","GOTERM_BP_DIRECT","SCF-dependent proteasomal ubiquitin-dependent protein catabolic process","3","53","61","18975","5.66","1.22e-2","1.51e-1","17.61","1.00e+0","1.43e-1","6.60e-4","CDC20,UBE2C,AKT1"
"6","2.15","GOTERM_BP_DIRECT","protein ubiquitination","6","53","548","18975","11.32","1.68e-2","1.89e-1","3.92","1.00e+0","1.79e-1","4.10e-3","CDC20,UBE2C,PLK1,AKT1,BRCA1,DTL"

