"Category","Term","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"INTERPRO","Kinase-like_dom_sf","13","53","541","20023","1.03e-8","2.76e-6","9.08","2.76e-6","2.69e-6","1.11e-9","PLK1,TTK,EGFR,AURKA,MELK,PIK3CA,CDK4,ERBB2,CHEK1,PBK,AKT1,NEK2,BUB1"
"INTERPRO","Prot_kinase_dom","12","53","496","20023","4.66e-8","6.22e-6","9.14","1.24e-5","6.05e-6","4.96e-9","MELK,CDK4,ERBB2,PLK1,CHEK1,PBK,AKT1,TTK,NEK2,BUB1,EGFR,AURKA"
"INTERPRO","Ser/Thr_kinase_AS","10","53","314","20023","1.04e-7","9.27e-6","12.03","2.78e-5","9.02e-6","8.37e-9","MELK,CDK4,PLK1,CHEK1,PBK,AKT1,TTK,NEK2,BUB1,AURKA"
"INTERPRO","Protein_kinase_ATP_BS","10","53","388","20023","6.19e-7","4.13e-5","9.74","1.65e-4","4.02e-5","6.17e-8","MELK,CDK4,ERBB2,PLK1,CHEK1,AKT1,TTK,BUB1,EGFR,AURKA"
"INTERPRO","Cyclin-like_dom","4","53","36","20023","1.11e-4","5.93e-3","41.98","2.92e-2","5.77e-3","2.42e-6","RB1,CCNB2,CCNB1,CCND1"
"INTERPRO","Cyclin-like_sf","4","53","45","20023","2.17e-4","9.66e-3","33.58","5.63e-2","9.41e-3","6.01e-6","RB1,CCNB2,CCNB1,CCND1"
"INTERPRO","Cyclins_cyclin-box","3","53","11","20023","3.58e-4","1.37e-2","103.03","9.13e-2","1.33e-2","2.85e-6","CCNB2,CCNB1,CCND1"
"INTERPRO","Cyclin_C-dom","3","53","19","20023","1.10e-3","3.62e-2","59.65","2.55e-1","3.52e-2","1.65e-5","CCNB2,CCNB1,CCND1"
"INTERPRO","Cyclin","3","53","20","20023","1.22e-3","3.62e-2","56.67","2.78e-1","3.52e-2","1.93e-5","CCNB2,CCNB1,CCND1"
"INTERPRO","Cyclin_N","3","53","35","20023","3.73e-3","9.95e-2","32.38","6.31e-1","9.69e-2","1.08e-4","CCNB2,CCNB1,CCND1"
"INTERPRO","TM_ErbB1","2","53","3","20023","7.77e-3","1.89e-1","251.86","8.75e-1","1.84e-1","2.06e-5","ERBB2,EGFR"
"INTERPRO","Znf_NHR/GATA","3","53","57","20023","9.64e-3","1.97e-1","19.88","9.25e-1","1.92e-1","4.63e-4","PGR,GATA3,ESR1"
"INTERPRO","Cyclin_A/B-like","2","53","4","20023","1.03e-2","1.97e-1","188.90","9.38e-1","1.92e-1","4.11e-5","CCNB2,CCNB1"
"INTERPRO","Tyr_kinase_EGF/ERB/XmrK_rcpt","2","53","4","20023","1.03e-2","1.97e-1","188.90","9.38e-1","1.92e-1","4.11e-5","ERBB2,EGFR"
"INTERPRO","Aur-like","2","53","6","20023","1.55e-2","2.54e-1","125.93","9.84e-1","2.47e-1","1.02e-4","MELK,AURKA"
"INTERPRO","GF_recep_IV","2","53","6","20023","1.55e-2","2.54e-1","125.93","9.84e-1","2.47e-1","1.02e-4","ERBB2,EGFR"
"INTERPRO","Furin-like_Cys-rich_dom","2","53","7","20023","1.80e-2","2.54e-1","107.94","9.92e-1","2.47e-1","1.43e-4","ERBB2,EGFR"
"INTERPRO","Rcpt_L-dom","2","53","7","20023","1.80e-2","2.54e-1","107.94","9.92e-1","2.47e-1","1.43e-4","ERBB2,EGFR"
"INTERPRO","Rcpt_L-dom_sf","2","53","7","20023","1.80e-2","2.54e-1","107.94","9.92e-1","2.47e-1","1.43e-4","ERBB2,EGFR"
"INTERPRO","Nuclear_hormone_rcpt_NR3","2","53","11","20023","2.82e-2","3.77e-1","68.69","1.00e+0","3.67e-1","3.72e-4","PGR,ESR1"
"INTERPRO","Furin_repeat","2","53","18","20023","4.57e-2","5.82e-1","41.98","1.00e+0","5.66e-1","1.02e-3","ERBB2,EGFR"

