"Category","Term","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"UP_SEQ_FEATURE","DOMAIN:Protein kinase","12","53","501","19804","5.76e-8","5.10e-5","8.95","5.10e-5","5.08e-5","6.27e-9","MELK,CDK4,ERBB2,PLK1,CHEK1,PBK,AKT1,TTK,NEK2,BUB1,EGFR,AURKA"
"UP_SEQ_FEATURE","ACT_SITE:Proton acceptor","13","53","885","19804","2.33e-6","1.03e-3","5.49","2.06e-3","1.03e-3","4.15e-7","PLK1,TTK,EGFR,AURKA,MELK,CDK4,ERBB2,CHEK1,PBK,AKT1,NEK2,TK1,BUB1"
"UP_SEQ_FEATURE","CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in SUMO2)","14","53","1271","19804","1.78e-5","5.01e-3","4.12","1.56e-2","4.99e-3","4.22e-6","TOP2A,PCNA,PLK1,KRT8,BRCA1,MKI67,TYMS,AURKA,KRT18,MYC,PBK,GAPDH,EZH2,MCM2"
"UP_SEQ_FEATURE","CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in ubiquitin)","8","53","328","19804","2.26e-5","5.01e-3","9.11","1.98e-2","4.99e-3","2.41e-6","CDC20,CCND1,PLK1,CHEK1,PTEN,AKT1,TP53,EGFR"
"UP_SEQ_FEATURE","DOMAIN:Cyclin-like","4","53","27","19804","4.78e-5","8.46e-3","55.36","4.14e-2","8.43e-3","7.66e-7","RB1,CCNB2,CCNB1,CCND1"
"UP_SEQ_FEATURE","DOMAIN:Cyclin C-terminal","3","53","16","19804","7.93e-4","1.17e-1","70.06","5.05e-1","1.17e-1","9.89e-6","CCNB2,CCNB1,CCND1"
"UP_SEQ_FEATURE","CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in SUMO2); alternate","6","53","349","19804","2.18e-3","2.76e-1","6.42","8.55e-1","2.74e-1","3.28e-4","TOP2A,KRT18,PCNA,MYC,KRT8,MKI67"
"UP_SEQ_FEATURE","REGION:Autoinhibitory region","2","53","2","19804","5.24e-3","5.81e-1","373.66","9.91e-1","5.78e-1","7.03e-6","MELK,CHEK1"
"UP_SEQ_FEATURE","REGION:Necessary for interaction with PNN","2","53","3","19804","7.86e-3","6.96e-1","249.11","9.99e-1","6.93e-1","2.10e-5","KRT18,KRT8"
"UP_SEQ_FEATURE","REGION:Interaction with PALB2","2","53","3","19804","7.86e-3","6.96e-1","249.11","9.99e-1","6.93e-1","2.10e-5","BRCA1,BRCA2"
"UP_SEQ_FEATURE","CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in SUMO1); alternate","4","53","182","19804","1.21e-2","8.90e-1","8.21","1.00e+0","8.86e-1","1.42e-3","TOP2A,KRT18,KRT8,MKI67"
"UP_SEQ_FEATURE","DOMAIN:Growth factor receptor","2","53","5","19804","1.31e-2","8.90e-1","149.46","1.00e+0","8.86e-1","6.99e-5","ERBB2,EGFR"
"UP_SEQ_FEATURE","DOMAIN:Furin-like cysteine-rich","2","53","5","19804","1.31e-2","8.90e-1","149.46","1.00e+0","8.86e-1","6.99e-5","ERBB2,EGFR"
"UP_SEQ_FEATURE","DOMAIN:Receptor L-domain","2","53","6","19804","1.57e-2","9.91e-1","124.55","1.00e+0","9.86e-1","1.05e-4","ERBB2,EGFR"
"UP_SEQ_FEATURE","MUTAGEN:T->A: Loss of kinase activity.","2","53","7","19804","1.82e-2","1.00e+0","106.76","1.00e+0","9.97e-1","1.46e-4","TTK,NEK2"
"UP_SEQ_FEATURE","MUTAGEN:S->A: Abolishes phosphorylation.","2","53","8","19804","2.08e-2","1.00e+0","93.42","1.00e+0","9.97e-1","1.95e-4","PTTG1,TP53"
"UP_SEQ_FEATURE","COMPBIAS:Low complexity","21","53","5070","19804","2.80e-2","1.00e+0","1.55","1.00e+0","9.97e-1","1.74e-2","FOXA1,RB1,TOP2A,PLK1,PTEN,KRT8,TTK,BRCA1,GATA3,BRCA2,TOB2,CENPA,ESR1,EGFR,MUC1,MYC,E2F1,AKT1,PGR,TK1,TP53"
"UP_SEQ_FEATURE","MOTIF:Nuclear localization signal","5","53","457","19804","3.17e-2","1.00e+0","4.09","1.00e+0","9.97e-1","7.40e-3","ERBB2,PGR,KIF2C,DTL,BUB1"
"UP_SEQ_FEATURE","REGION:Globular","2","53","13","19804","3.36e-2","1.00e+0","57.49","1.00e+0","9.97e-1","5.38e-4","KIF2C,KIF20A"
"UP_SEQ_FEATURE","REGION:Leucine-zipper","3","53","118","19804","3.85e-2","1.00e+0","9.50","1.00e+0","9.97e-1","3.89e-3","MYC,E2F1,NEK2"
"UP_SEQ_FEATURE","REGION:Disordered","42","53","13217","19804","4.01e-2","1.00e+0","1.19","1.00e+0","9.97e-1","3.32e-2","FOXA1,RB1,TOP2A,FEN1,PCNA,PTEN,NCAPG,TTK,GATA3,BRCA1,MKI67,TYMS,TOB2,BRCA2,CENPA,EGFR,AURKA,CDC20,MUC1,CCNB1,PTTG1,CCND1,CDH1,MYC,ERBB2,CHEK1,E2F1,AKT1,TK1,BUB1,RRM2,UBE2C,PLK1,KRT8,ESR1,PGR,KIF2C,KIF20A,TP53,DTL,MCM2,EZH2"
"UP_SEQ_FEATURE","DOMAIN:Serine-threonine/tyrosine-protein kinase catalytic","2","53","17","19804","4.37e-2","1.00e+0","43.96","1.00e+0","9.97e-1","9.31e-4","ERBB2,EGFR"
"UP_SEQ_FEATURE","SITE:Interaction with DNA","2","53","17","19804","4.37e-2","1.00e+0","43.96","1.00e+0","9.97e-1","9.31e-4","TOP2A,TP53"
"UP_SEQ_FEATURE","CARBOHYD:O-linked (GlcNAc) serine; alternate","2","53","18","19804","4.62e-2","1.00e+0","41.52","1.00e+0","9.97e-1","1.05e-3","KRT18,AKT1"
"UP_SEQ_FEATURE","REGION:Activation loop","2","53","22","19804","5.62e-2","1.00e+0","33.97","1.00e+0","9.97e-1","1.57e-3","PIK3CA,PLK1"
"UP_SEQ_FEATURE","REGION:Interaction with DNA","2","53","32","19804","8.08e-2","1.00e+0","23.35","1.00e+0","9.97e-1","3.31e-3","TOP2A,TP53"
"UP_SEQ_FEATURE","SITE:Stutter","2","53","34","19804","8.56e-2","1.00e+0","21.98","1.00e+0","9.97e-1","3.73e-3","KRT18,KRT8"
"UP_SEQ_FEATURE","SITE:Cleavage; by caspase-3","2","53","34","19804","8.56e-2","1.00e+0","21.98","1.00e+0","9.97e-1","3.73e-3","CDH1,AKT1"

