"Cluster","Cluster Enrichment Score","Category","Term","Count","List Total","Pop Hits","Pop Total","%","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"1","7.46","GOTERM_MF_DIRECT","ATP binding","21","53","1533","18807","39.62","1.48e-9","3.76e-7","4.86","3.76e-7","3.33e-7","2.98e-10","TOP2A,UBE2C,PLK1,TTK,MKI67,EGFR,ACTB,AURKA,MELK,PIK3CA,CDK4,ERBB2,CHEK1,PBK,AKT1,NEK2,KIF2C,KIF20A,TK1,BUB1,MCM2"
"1","7.46","GOTERM_MF_DIRECT","kinase activity","15","53","727","18807","28.30","6.65e-9","5.65e-7","7.32","1.69e-6","5.01e-7","8.87e-10","PLK1,TTK,EGFR,AURKA,MELK,PIK3CA,CCND1,CDK4,ERBB2,CHEK1,PBK,AKT1,NEK2,TK1,BUB1"
"1","7.46","GOTERM_MF_DIRECT","protein kinase activity","13","53","524","18807","24.53","1.44e-8","7.79e-7","8.80","3.68e-6","6.90e-7","1.60e-9","PLK1,TTK,EGFR,AURKA,MELK,CCND1,CDK4,ERBB2,CHEK1,PBK,AKT1,NEK2,BUB1"
"1","7.46","GOTERM_MF_DIRECT","nucleotide binding","21","53","1830","18807","39.62","3.08e-8","1.31e-6","4.07","7.86e-6","1.16e-6","7.45e-9","TOP2A,UBE2C,PLK1,TTK,MKI67,EGFR,ACTB,AURKA,MELK,PIK3CA,CDK4,ERBB2,CHEK1,PBK,AKT1,NEK2,KIF2C,KIF20A,TK1,BUB1,MCM2"
"1","7.46","GOTERM_MF_DIRECT","protein serine kinase activity","11","53","363","18807","20.75","4.88e-8","1.78e-6","10.75","1.24e-5","1.58e-6","4.40e-9","MELK,PIK3CA,CDK4,PLK1,CHEK1,PBK,AKT1,TTK,NEK2,BUB1,AURKA"
"1","7.46","GOTERM_MF_DIRECT","protein serine/threonine kinase activity","11","53","419","18807","20.75","1.86e-7","5.92e-6","9.32","4.73e-5","5.24e-6","1.94e-8","MELK,PIK3CA,CDK4,PLK1,CHEK1,PBK,AKT1,TTK,NEK2,BUB1,AURKA"
"1","7.46","GOTERM_MF_DIRECT","transferase activity","19","53","1894","18807","35.85","1.56e-6","3.98e-5","3.56","3.98e-4","3.53e-5","4.30e-7","UBE2C,PLK1,TTK,BRCA1,TYMS,EGFR,AURKA,MELK,PIK3CA,CDK4,ERBB2,CHEK1,PBK,AKT1,NEK2,TK1,GAPDH,BUB1,EZH2"
"2","1.94","GOTERM_MF_DIRECT","transcription coactivator binding","4","53","54","18807","7.55","4.48e-4","6.71e-3","26.29","1.08e-1","5.95e-3","1.60e-5","PGR,GATA3,ESR1,TP53"
"2","1.94","GOTERM_MF_DIRECT","transcription cis-regulatory region binding","6","53","286","18807","11.32","1.14e-3","1.53e-2","7.44","2.52e-1","1.35e-2","1.48e-4","FOXA1,E2F1,BRCA1,GATA3,TP53,EZH2"
"2","1.94","GOTERM_MF_DIRECT","cis-regulatory region sequence-specific DNA binding","4","53","90","18807","7.55","1.98e-3","2.40e-2","15.77","3.96e-1","2.13e-2","1.20e-4","MYC,E2F1,GATA3,TP53"
"2","1.94","GOTERM_MF_DIRECT","DNA-binding transcription activator activity, RNA polymerase II-specific","6","53","455","18807","11.32","8.28e-3","7.54e-2","4.68","8.80e-1","6.69e-2","1.70e-3","FOXA1,MYC,PGR,GATA3,ESR1,TP53"
"2","1.94","GOTERM_MF_DIRECT","RNA polymerase II cis-regulatory region sequence-specific DNA binding","9","53","1096","18807","16.98","9.93e-3","8.73e-2","2.91","9.21e-1","7.74e-2","3.27e-3","FOXA1,MUC1,MYC,E2F1,PGR,GATA3,ESR1,TP53,EZH2"
"2","1.94","GOTERM_MF_DIRECT","sequence-specific DNA binding","6","53","510","18807","11.32","1.31e-2","1.11e-1","4.17","9.65e-1","9.88e-2","3.01e-3","FOXA1,E2F1,PGR,GATA3,ESR1,EZH2"
"2","1.94","GOTERM_MF_DIRECT","DNA-binding transcription factor activity","7","53","736","18807","13.21","1.55e-2","1.24e-1","3.37","9.81e-1","1.10e-1","4.40e-3","FOXA1,MYC,E2F1,PGR,GATA3,ESR1,TP53"
"2","1.94","GOTERM_MF_DIRECT","sequence-specific double-stranded DNA binding","5","53","628","18807","9.43","9.51e-2","4.95e-1","2.83","1.00e+0","4.39e-1","3.14e-2","FOXA1,E2F1,PGR,GATA3,ESR1"
"2","1.94","GOTERM_MF_DIRECT","DNA-binding transcription factor activity, RNA polymerase II-specific","7","53","1234","18807","13.21","1.24e-1","5.74e-1","2.01","1.00e+0","5.08e-1","5.68e-2","FOXA1,MYC,E2F1,PGR,GATA3,ESR1,TP53"
"2","1.94","GOTERM_MF_DIRECT","DNA-binding transcription repressor activity, RNA polymerase II-specific","3","53","293","18807","5.66","1.94e-1","7.28e-1","3.63","1.00e+0","6.45e-1","4.96e-2","MYC,GATA3,TP53"

