"Category","Term","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"DISGENET","Liver carcinoma","38","53","506","9587","3.15e-36","2.45e-33","13.58","2.45e-33","1.96e-33","2.16e-37","RB1,TOP2A,PTEN,NCAPG,TTK,MKI67,TYMS,CENPA,EGFR,ACTB,AURKA,CDC20,CCNB2,CCNB1,PTTG1,CCND1,MYC,PBK,E2F1,NEK2,TK1,BUB1,RRM2,UBE2C,PLK1,ESR1,MELK,PIK3CA,CDK4,BIRC5,KIF2C,KIF20A,GAPDH,TP53,DTL,MCM2,EZH2,MAD2L1"
"DISGENET","Breast Carcinoma","26","53","537","9587","3.22e-18","1.25e-15","8.76","2.50e-15","1.00e-15","3.52e-19","FOXA1,RB1,TOP2A,PTEN,GATA3,BRCA1,MKI67,TYMS,BRCA2,EGFR,AURKA,CCND1,CDH1,ERBB2,CHEK1,E2F1,AKT1,UBE2C,KRT8,ESR1,KRT18,PIK3CA,BIRC5,PGR,TP53,EZH2"
"DISGENET","Mammary Carcinoma, Human","25","53","524","9587","2.88e-17","4.88e-15","8.63","2.24e-14","3.92e-15","3.20e-18","FOXA1,RB1,TOP2A,PTEN,BRCA1,MKI67,TYMS,BRCA2,EGFR,AURKA,CCND1,CDH1,ERBB2,CHEK1,E2F1,AKT1,UBE2C,KRT8,ESR1,KRT18,PIK3CA,BIRC5,PGR,TP53,EZH2"
"DISGENET","Mammary Neoplasms, Human","25","53","524","9587","2.88e-17","4.88e-15","8.63","2.24e-14","3.92e-15","3.20e-18","FOXA1,RB1,TOP2A,PTEN,BRCA1,MKI67,TYMS,BRCA2,EGFR,AURKA,CCND1,CDH1,ERBB2,CHEK1,E2F1,AKT1,UBE2C,KRT8,ESR1,KRT18,PIK3CA,BIRC5,PGR,TP53,EZH2"
"DISGENET","Mammary Neoplasms","25","53","526","9587","3.14e-17","4.88e-15","8.60","2.44e-14","3.92e-15","3.51e-18","FOXA1,RB1,TOP2A,PTEN,BRCA1,MKI67,TYMS,BRCA2,EGFR,AURKA,CCND1,CDH1,ERBB2,CHEK1,E2F1,AKT1,UBE2C,KRT8,ESR1,KRT18,PIK3CA,BIRC5,PGR,TP53,EZH2"
"DISGENET","Neoplasm of uncertain or unknown behavior of breast","11","53","41","9587","8.71e-15","9.66e-13","48.53","6.72e-12","7.75e-13","1.35e-16","FOXA1,RB1,PIK3CA,ERBB2,PTEN,AKT1,BRCA1,GATA3,BRCA2,ESR1,TP53"
"DISGENET","Breast adenocarcinoma","11","53","41","9587","8.71e-15","9.66e-13","48.53","6.72e-12","7.75e-13","1.35e-16","FOXA1,RB1,PIK3CA,ERBB2,PTEN,AKT1,BRCA1,GATA3,BRCA2,ESR1,TP53"
"DISGENET","ovarian neoplasm","14","53","134","9587","1.72e-13","1.67e-11","18.90","1.33e-10","1.34e-11","8.19e-15","PTEN,BRCA1,MKI67,TYMS,BRCA2,ESR1,EGFR,PIK3CA,CDH1,MYC,ERBB2,BIRC5,AKT1,TP53"
"DISGENET","Malignant neoplasm of ovary","14","53","137","9587","2.30e-13","1.98e-11","18.48","1.78e-10","1.59e-11","1.12e-14","PTEN,BRCA1,MKI67,TYMS,BRCA2,ESR1,EGFR,PIK3CA,CDH1,MYC,ERBB2,BIRC5,AKT1,TP53"
"DISGENET","Adenocarcinoma, Oxyphilic","13","53","116","9587","7.59e-13","3.93e-11","20.27","5.89e-10","3.15e-11","3.36e-14","PCNA,PTEN,KRT8,MKI67,ESR1,EGFR,PIK3CA,CCND1,MYC,ERBB2,BIRC5,PGR,TP53"
"DISGENET","Adenocarcinoma, Basal Cell","13","53","116","9587","7.59e-13","3.93e-11","20.27","5.89e-10","3.15e-11","3.36e-14","PCNA,PTEN,KRT8,MKI67,ESR1,EGFR,PIK3CA,CCND1,MYC,ERBB2,BIRC5,PGR,TP53"
"DISGENET","Adenocarcinoma","13","53","116","9587","7.59e-13","3.93e-11","20.27","5.89e-10","3.15e-11","3.36e-14","PCNA,PTEN,KRT8,MKI67,ESR1,EGFR,PIK3CA,CCND1,MYC,ERBB2,BIRC5,PGR,TP53"
"DISGENET","Adenocarcinoma, Tubular","13","53","116","9587","7.59e-13","3.93e-11","20.27","5.89e-10","3.15e-11","3.36e-14","PCNA,PTEN,KRT8,MKI67,ESR1,EGFR,PIK3CA,CCND1,MYC,ERBB2,BIRC5,PGR,TP53"
"DISGENET","Carcinoma, Granular Cell","13","53","116","9587","7.59e-13","3.93e-11","20.27","5.89e-10","3.15e-11","3.36e-14","PCNA,PTEN,KRT8,MKI67,ESR1,EGFR,PIK3CA,CCND1,MYC,ERBB2,BIRC5,PGR,TP53"
"DISGENET","Carcinoma, Cribriform","13","53","116","9587","7.59e-13","3.93e-11","20.27","5.89e-10","3.15e-11","3.36e-14","PCNA,PTEN,KRT8,MKI67,ESR1,EGFR,PIK3CA,CCND1,MYC,ERBB2,BIRC5,PGR,TP53"
"DISGENET","Malignant Neoplasms","13","53","126","9587","2.07e-12","1.00e-10","18.66","1.60e-9","8.04e-11","1.00e-13","PTEN,BRCA1,ESR1,EGFR,AURKA,PIK3CA,CCND1,CDK4,MYC,ERBB2,E2F1,AKT1,TP53"
"DISGENET","Ovarian Carcinoma","9","53","30","9587","2.28e-12","1.04e-10","54.27","1.77e-9","8.36e-11","3.10e-14","PIK3CA,CDH1,ERBB2,PTEN,AKT1,BRCA1,BRCA2,ESR1,TP53"
"DISGENET","Adenocarcinoma of prostate","8","53","20","9587","6.67e-12","2.88e-10","72.35","5.18e-9","2.31e-10","6.01e-14","FOXA1,MYC,PTEN,AKT1,BRCA1,BRCA2,EGFR,AURKA"
"DISGENET","Malignant neoplasm of breast","26","53","1070","9587","2.90e-11","1.18e-9","4.40","2.25e-8","9.50e-10","6.44e-12","FOXA1,RB1,TOP2A,PTEN,GATA3,BRCA1,MKI67,TYMS,BRCA2,EGFR,AURKA,CCND1,CDH1,ERBB2,CHEK1,E2F1,AKT1,UBE2C,KRT8,ESR1,KRT18,PIK3CA,BIRC5,PGR,TP53,EZH2"
